City,State,Population,Percent employed,Occupation (MBSA),Occupation (S),Occupation (SO),Occupation (RCM),Occupation (PT),Median household income,Homeownership rate,Median home price,Median rent,KMeans,Hierarchical
"Dinosaur, Colorado",Colorado,614,58.5,13.5,0.0,11.2,75.3,0.0,51086,92.6,23200,879,1,6
"Dolores, Colorado",Colorado,947,69.1,36.3,40.4,18.4,2.3,2.7,33438,44.2,263300,749,3,4
"Dove Valley, Colorado",Colorado,5313,79.6,47.3,20.4,19.6,4.5,8.3,85772,33.7,425900,1892,7,1
"Durango, Colorado",Colorado,19257,66.4,48.0,16.7,20.0,6.4,8.9,79545,55.4,609700,1562,7,1
"Eads, Colorado",Colorado,647,68.1,53.8,16.8,15.9,10.7,2.9,58542,79.8,129500,880,5,2
"Eagle, Colorado",Colorado,7479,75.0,43.6,14.5,25.0,8.5,8.4,103850,68.9,693600,1706,7,1
"Eaton, Colorado",Colorado,5832,70.7,36.9,14.8,23.0,17.4,7.8,106146,93.7,448800,1710,2,0
"Eckley, Colorado",Colorado,353,72.8,21.3,15.8,14.2,42.6,6.0,53125,76.2,111300,742,1,6
"Edgewater, Colorado",Colorado,4955,84.8,39.7,16.9,24.3,9.6,9.6,74320,39.2,603400,1468,7,1
"Edwards, Colorado",Colorado,10415,71.6,44.0,18.7,21.1,11.9,4.3,90735,65.8,747700,1885,7,1
"Elbert, Colorado",Colorado,150,64.7,58.9,0.0,21.9,9.6,9.6,56500,84.2,263200,1188,5,2
"Elizabeth, Colorado",Colorado,1694,68.9,53.2,13.8,13.9,12.5,6.6,110227,88.4,444000,1526,0,0
"El Jebel, Colorado",Colorado,3935,79.0,39.4,30.3,9.2,16.4,4.7,100518,74.8,854300,3145,0,1
"Empire, Colorado",Colorado,549,72.4,20.1,14.0,29.5,23.7,12.8,63092,59.0,297600,1566,8,4
"Englewood, Colorado",Colorado,33774,74.9,49.6,15.2,19.4,7.0,8.7,82016,47.7,534000,1563,7,1
"Erie, Colorado",Colorado,31927,76.3,62.1,9.9,16.8,4.4,6.7,163644,87.9,685900,2775,6,3
"Estes Park, Colorado",Colorado,5879,48.5,40.0,20.1,27.5,5.3,7.0,73313,69.2,634200,1431,2,0
"Evans, Colorado",Colorado,22265,72.7,29.0,19.6,22.2,12.4,16.8,72926,69.7,326300,1497,2,0
"Evergreen, Colorado",Colorado,8643,67.0,61.5,10.5,20.0,2.6,5.4,148665,87.8,745500,1955,0,3
"Fairmount, Colorado",Colorado,10521,66.4,63.4,9.1,17.7,4.4,5.5,163785,91.3,772600,2505,6,3
"Fairplay, Colorado",Colorado,851,80.6,30.9,28.0,20.8,11.9,8.4,82031,53.2,411000,1634,7,1
"Federal Heights, Colorado",Colorado,14160,68.7,17.2,25.3,17.7,22.0,17.8,57957,58.7,91300,1655,8,4
"Firestone, Colorado",Colorado,17353,74.7,45.4,13.4,17.5,11.4,12.3,114591,80.3,511800,1916,0,0
"Flagler, Colorado",Colorado,597,46.9,44.8,5.7,21.4,10.9,17.2,37941,51.6,123600,840,5,2
"Fleming, Colorado",Colorado,598,64.5,24.2,16.4,26.4,8.2,24.9,51875,70.3,120800,937,9,9
"Florence, Colorado",Colorado,3870,63.5,22.8,32.0,19.6,14.0,11.6,57239,68.4,228300,694,3,4
"Floyd Hill, Colorado",Colorado,850,76.4,50.7,30.6,13.3,1.4,4.0,186420,91.3,671000,1157,0,1
"Fort Collins, Colorado",Colorado,169705,70.7,51.9,16.5,18.1,5.9,7.6,83598,52.1,548400,1661,7,1
"Fort Garland, Colorado",Colorado,426,52.6,24.7,0.0,52.1,23.3,0.0,29750,70.9,239600,871,4,9
"Fort Lupton, Colorado",Colorado,8494,69.1,23.0,21.6,17.3,16.6,21.4,64850,63.9,372400,1296,8,4
"Fort Morgan, Colorado",Colorado,11521,64.6,34.0,9.1,14.5,18.3,24.1,59121,52.3,259900,1074,8,2
"Fountain, Colorado",Colorado,29327,69.2,38.4,15.1,21.8,12.7,12.0,85246,72.3,374600,1778,2,0
"Four Square Mile, Colorado",Colorado,21788,76.2,45.5,16.8,19.6,6.0,12.0,73318,24.7,448200,1796,7,1
"Fowler, Colorado",Colorado,1101,51.0,31.1,6.7,28.7,15.0,18.5,42083,67.2,141300,823,4,0
"Fraser, Colorado",Colorado,1189,91.7,42.7,27.6,13.7,5.3,10.6,81786,55.1,593800,1658,7,1
"Frederick, Colorado",Colorado,15893,77.0,44.7,11.0,19.8,9.1,15.4,135316,95.8,529800,2252,0,3
"Frisco, Colorado",Colorado,2865,69.9,45.9,23.2,8.3,11.0,11.6,113406,58.6,839500,2582,7,1
"Fruita, Colorado",Colorado,13578,59.8,38.3,20.0,16.0,10.1,15.5,77680,80.5,361500,1275,2,0
"Fruitvale, Colorado",Colorado,7998,62.5,32.6,17.4,24.3,13.2,12.4,76339,92.3,299900,1800,2,0
"Genesee, Colorado",Colorado,3826,57.1,67.5,4.3,21.0,3.0,4.2,172692,91.4,994700,2797,6,7
"Genoa, Colorado",Colorado,179,57.5,16.7,29.8,28.6,21.4,3.6,51750,76.8,164100,888,4,4
"Georgetown, Colorado",Colorado,1082,68.0,55.6,15.5,26.0,2.8,0.0,75804,65.9,440000,1361,7,0
"Gilcrest, Colorado",Colorado,987,68.4,17.3,25.5,12.2,16.7,28.2,66771,86.5,287000,1900,9,0
"Glendale, Colorado",Colorado,4546,88.8,45.4,15.1,27.3,3.3,8.9,68952,7.2,398800,1723,7,1
"Gleneagle, Colorado",Colorado,6207,67.7,59.6,16.3,19.5,2.5,2.1,137105,83.1,570700,2051,0,3
"Glenwood Springs, Colorado",Colorado,10171,78.0,31.4,27.1,21.9,12.7,7.0,87000,52.5,592000,1717,7,1
"Golden, Colorado",Colorado,20467,62.7,60.3,13.0,15.3,5.6,5.7,95913,58.8,790500,1854,7,1
"Granada, Colorado",Colorado,492,68.2,28.3,34.6,10.3,12.1,14.7,46685,67.8,100000,713,3,4
"Granby, Colorado",Colorado,2195,76.1,40.7,20.9,17.7,13.7,7.1,82321,74.5,415700,1292,2,0
"Grand Junction, Colorado",Colorado,67027,61.4,41.2,18.6,20.6,9.4,10.2,66676,62.8,358300,1101,5,0
"Grand Lake, Colorado",Colorado,316,69.5,25.0,21.4,24.5,29.2,0.0,100625,75.8,358300,810,1,4
"Greeley, Colorado",Colorado,109421,65.5,33.1,16.9,19.3,13.2,17.6,68650,60.6,369600,1333,8,0
"Green Mountain Falls, Colorado",Colorado,717,71.3,53.9,25.7,8.6,8.2,3.7,96346,80.4,369000,1618,0,3
"Greenwood Village, Colorado",Colorado,15485,63.4,69.1,6.2,20.1,2.2,2.4,145781,63.9,1213300,2119,6,3
"Grover, Colorado",Colorado,179,50.9,21.7,14.5,14.5,21.7,27.7,41667,82.1,213300,675,9,0
"Gunbarrel, Colorado",Colorado,10424,70.6,68.2,8.2,13.2,1.6,8.7,111506,60.3,789200,1924,0,3
"Gunnison, Colorado",Colorado,6712,75.5,35.1,26.1,18.6,13.5,6.7,55313,44.9,432200,1120,7,4
"Gypsum, Colorado",Colorado,8481,64.7,45.0,13.5,8.1,23.4,9.9,124534,74.1,553600,2198,0,3
"Hasty, Colorado",Colorado,94,18.7,23.5,0.0,5.9,70.6,0.0,24375,72.0,93200,825,1,6
"Haswell, Colorado",Colorado,50,62.2,35.7,28.6,0.0,35.7,0.0,59583,61.9,77500,785,1,6
"Haxtun, Colorado",Colorado,957,64.0,46.0,13.2,15.4,13.0,12.4,53819,80.7,221300,570,5,2
"Hayden, Colorado",Colorado,2010,66.7,36.5,16.8,21.2,17.7,7.8,97917,73.7,394400,1680,2,0
"Highlands Ranch, Colorado",Colorado,101437,71.7,62.7,9.6,20.2,2.9,4.6,155847,79.2,672600,2397,6,3
"Hillrose, Colorado",Colorado,266,66.1,41.4,25.8,13.3,11.7,7.8,72083,77.3,204800,1363,2,4
"Holly Hills, Colorado",Colorado,2652,63.9,52.5,12.9,19.7,7.8,7.1,127989,85.0,637100,1458,0,0
"Holyoke, Colorado",Colorado,2378,58.0,37.8,19.2,14.2,23.5,5.2,54154,73.4,260000,1056,1,2
"Hotchkiss, Colorado",Colorado,1147,52.4,23.9,17.5,24.3,26.1,8.1,58125,78.1,265500,1147,4,4
"Hot Sulphur Springs, Colorado",Colorado,977,70.7,29.5,29.7,18.1,15.3,7.3,90221,81.8,376600,1183,2,4
"Howard, Colorado",Colorado,1159,50.8,50.4,9.7,22.7,11.0,6.3,57664,79.5,386500,488,5,0
"Hudson, Colorado",Colorado,1844,58.8,21.8,18.8,11.4,25.8,22.2,71429,72.8,312600,1152,1,4
"Hugo, Colorado",Colorado,915,54.9,42.9,12.5,25.0,13.1,6.5,47222,65.0,241200,1008,5,0
"Idaho Springs, Colorado",Colorado,1968,72.4,42.4,26.3,9.9,14.4,6.9,85450,68.9,434900,1175,7,0
"Ignacio, Colorado",Colorado,1255,66.1,29.6,33.3,15.8,11.0,10.3,65759,62.2,252200,1146,3,4
"Iliff, Colorado",Colorado,276,70.4,29.1,25.0,6.4,26.2,13.4,73750,78.1,154300,1104,1,4
"Inverness, Colorado",Colorado,3088,87.9,70.7,5.4,19.7,0.9,3.3,104636,15.4,799600,2036,7,1
"Jamestown, Colorado",Colorado,255,82.6,49.2,21.1,17.6,9.5,2.5,175125,75.4,472900,1208,0,1
"Johnstown, Colorado",Colorado,18075,79.3,44.0,11.4,21.3,13.9,9.4,130851,77.3,493500,1767,0,0
"Julesburg, Colorado",Colorado,1193,58.6,36.4,17.6,17.3,14.1,14.6,48056,63.3,131100,708,5,2
"Keenesburg, Colorado",Colorado,1866,71.8,27.5,25.2,20.1,11.6,15.6,83490,82.9,410500,1438,2,0
"Ken Caryl, Colorado",Colorado,33407,71.3,52.6,11.9,22.3,6.3,6.9,116838,83.6,565700,1950,0,3
"Kersey, Colorado",Colorado,1318,60.5,33.3,10.0,21.9,18.0,16.8,61136,64.5,317900,923,8,2
"Keystone, Colorado",Colorado,1111,81.9,35.9,35.7,13.9,10.3,4.2,51369,20.8,1264500,861,7,1
"Kiowa, Colorado",Colorado,704,60.9,29.5,12.4,19.0,27.0,12.1,62917,77.8,337500,1104,1,2
"Kit Carson, Colorado",Colorado,210,64.7,26.1,17.4,10.4,27.8,18.3,57273,73.0,153100,621,1,4
"Kremmling, Colorado",Colorado,1844,65.3,24.7,24.4,6.7,32.5,11.8,72650,77.3,322400,1631,1,6
"Lafayette, Colorado",Colorado,30471,74.6,59.7,10.2,16.1,4.6,9.4,110431,66.7,647600,2042,0,3
"La Jara, Colorado",Colorado,593,64.4,14.7,27.1,35.5,3.6,19.1,39630,59.2,134400,692,4,4
"La Junta, Colorado",Colorado,7211,59.4,36.7,9.3,22.8,17.4,13.8,54253,65.2,180700,709,5,2
"Lake City, Colorado",Colorado,474,56.9,36.9,35.6,16.9,8.5,2.1,62422,78.7,409300,965,3,4
"Lakewood, Colorado",Colorado,156309,68.8,48.5,15.6,19.4,8.3,8.2,85789,58.1,548200,1746,7,1
"Lamar, Colorado",Colorado,7629,62.6,25.5,22.5,19.7,14.2,18.0,58487,69.2,137100,844,8,0
"Laporte, Colorado",Colorado,2123,69.0,40.9,12.6,15.5,11.8,19.2,67697,71.6,373100,1107,2,2
"Larkspur, Colorado",Colorado,171,58.3,31.8,13.6,12.5,5.7,36.4,88125,90.7,155600,1281,9,0
"La Salle, Colorado",Colorado,3119,68.1,30.0,21.1,12.7,21.6,14.6,91635,87.8,362700,1213,2,2
"Las Animas, Colorado",Colorado,2480,47.5,21.9,32.3,10.5,13.3,22.1,48917,57.8,111500,1005,3,4
"Leadville, Colorado",Colorado,2634,85.0,50.6,11.7,21.3,6.1,10.2,83875,72.2,374700,1651,7,1
"Leadville North, Colorado",Colorado,1470,70.9,44.8,3.2,23.2,11.3,17.5,96447,60.9,397900,1705,7,1
"Limon, Colorado",Colorado,1572,57.8,26.6,21.3,31.0,17.0,4.1,46950,66.5,208000,889,4,4
"Lincoln Park, Colorado",Colorado,4315,39.7,34.1,17.1,12.6,23.7,12.4,64750,81.3,272000,1120,1,4
"Littleton, Colorado",Colorado,45092,70.8,54.2,12.6,17.3,6.7,9.3,96611,61.4,596700,1731,7,1
"Lochbuie, Colorado",Colorado,8142,75.0,31.8,10.5,16.7,19.6,21.4,88548,92.1,373800,1609,2,0
"Log Lane Village, Colorado",Colorado,948,74.4,20.9,9.0,24.2,14.3,31.6,64688,71.2,140400,800,9,0
"Lone Tree, Colorado",Colorado,14136,72.1,64.7,5.2,23.3,3.9,2.9,125699,56.4,819800,2030,0,1
"Longmont, Colorado",Colorado,98958,68.7,47.4,15.0,19.4,7.7,10.6,89724,62.6,541400,1755,7,1
"Louisville, Colorado",Colorado,20788,69.6,64.6,9.8,16.7,3.6,5.2,149159,70.9,835000,2069,6,3
"Loveland, Colorado",Colorado,77350,64.7,44.5,13.5,19.9,10.3,11.9,82592,61.8,453100,1683,7,1
"Lyons, Colorado",Colorado,1927,62.8,71.3,8.3,9.5,3.1,7.8,132589,79.9,855000,1962,6,3
"Manassa, Colorado",Colorado,926,69.4,33.0,17.8,16.3,22.5,10.5,56484,79.6,144100,693,1,2
"Mancos, Colorado",Colorado,1016,59.5,39.1,14.7,25.3,7.5,13.4,62361,71.7,343900,962,2,0
"Manitou Springs, Colorado",Colorado,4796,72.4,50.2,18.3,16.4,10.0,5.0,76550,56.8,545800,1175,7,1
"Manzanola, Colorado",Colorado,382,39.8,32.3,33.1,16.9,8.5,9.2,29457,71.3,113100,721,3,4
"Mead, Colorado",Colorado,5503,77.4,44.0,16.8,16.9,7.9,14.5,116074,93.5,552100,1583,0,0
"Meeker, Colorado",Colorado,2528,57.2,38.2,23.0,12.2,13.9,12.7,71301,68.0,231900,992,5,2
