City,State,Population,Percent employed,Occupation (MBSA),Occupation (S),Occupation (SO),Occupation (RCM),Occupation (PT),Median household income,Homeownership rate,Median home price,Median rent,KMeans,Hierarchical
"Sugar City, Idaho",Idaho,2011,67.9,55.7,18.9,12.8,7.5,5.1,71944,70.1,308000,1307,7,2
"Sun Valley, Idaho",Idaho,1383,59.6,57.6,24.8,8.3,9.3,0.0,82045,94.1,845600,2114,0,3
"Tensed, Idaho",Idaho,56,39.2,61.1,27.8,5.6,0.0,5.6,25833,47.4,110000,467,5,2
"Teton, Idaho",Idaho,786,67.4,37.9,9.2,17.9,17.3,17.6,77667,86.2,278800,869,2,2
"Tetonia, Idaho",Idaho,368,79.5,36.6,14.1,21.1,21.1,7.0,63125,73.6,336800,973,2,4
"Troy, Idaho",Idaho,908,66.9,46.4,10.6,15.4,18.6,9.0,87589,86.2,270800,958,2,2
"Twin Falls, Idaho",Idaho,53219,64.2,35.3,18.1,18.2,9.9,18.5,60760,63.3,279400,1011,8,0
"Tyhee, Idaho",Idaho,1475,65.9,32.2,17.2,24.7,12.7,13.3,89500,74.8,417800,1171,2,0
"Ucon, Idaho",Idaho,1537,70.8,30.7,18.1,25.7,16.0,9.4,83864,87.9,311700,920,2,4
"Victor, Idaho",Idaho,3024,82.0,36.8,15.9,22.8,13.8,10.7,73664,64.8,591500,1210,7,0
"Wallace, Idaho",Idaho,1127,53.6,32.4,12.9,31.7,16.6,6.3,50526,52.6,219200,731,4,9
"Weippe, Idaho",Idaho,382,31.7,7.8,25.9,0.0,42.2,24.1,29167,77.8,113000,625,1,6
"Weiser, Idaho",Idaho,5803,48.8,25.0,21.6,16.4,10.2,26.8,45463,61.7,196200,908,9,4
"Wendell, Idaho",Idaho,2940,63.5,16.8,17.4,16.2,26.1,23.5,54850,70.4,209600,783,1,4
"Weston, Idaho",Idaho,586,69.5,33.7,17.1,11.9,14.7,22.6,85588,92.9,315500,1125,2,2
"Wilder, Idaho",Idaho,1690,65.5,18.7,19.4,15.0,24.7,22.2,55938,64.2,215600,799,1,4
"Winchester, Idaho",Idaho,300,40.1,22.4,37.8,13.3,10.2,16.3,43125,65.8,198400,769,3,4
"Worley, Idaho",Idaho,249,64.8,21.1,37.4,17.9,17.1,6.5,46607,67.7,139600,1028,3,4
"Abernathy, Texas",Texas,3108,60.5,47.5,13.0,19.0,8.5,12.0,76850,81.5,145100,738,5,2
"Abilene, Texas",Texas,127130,62.1,36.5,20.9,21.2,9.9,11.5,62720,55.6,178900,1106,8,4
"Addison, Texas",Texas,17128,81.2,57.4,10.0,21.9,4.1,6.6,82858,17.9,466000,1717,7,1
"Agua Dulce, Texas",Texas,2995,59.1,11.7,23.3,17.0,27.5,20.5,47485,87.5,110500,945,1,4
"Alamo, Texas",Texas,20008,54.4,27.1,24.2,18.4,17.7,12.6,54234,73.2,119300,649,1,4
"Alamo Heights, Texas",Texas,7443,66.3,74.8,6.1,14.4,1.3,3.4,182819,72.3,766000,1426,6,3
"Alba, Texas",Texas,574,38.9,27.9,14.7,25.8,10.0,21.6,59583,75.8,111600,600,4,4
"Albany, Texas",Texas,1725,65.5,35.3,15.4,21.6,10.9,16.8,56339,79.3,162500,478,5,0
"Aldine, Texas",Texas,15434,58.5,11.1,18.1,23.0,28.0,19.9,40916,60.6,104600,1325,8,4
"Aledo, Texas",Texas,5432,70.7,62.1,7.7,20.7,6.0,3.5,152083,90.7,409300,2604,0,3
"Alice, Texas",Texas,17797,55.4,26.1,23.9,24.2,14.8,11.1,46963,55.6,107700,874,8,4
"Allen, Texas",Texas,107684,70.2,57.3,10.9,20.9,4.1,6.8,129130,69.8,429900,1877,0,1
"Alma, Texas",Texas,469,70.1,26.1,22.2,27.5,19.7,4.6,105300,85.6,281300,930,2,4
"Alpine, Texas",Texas,6003,63.3,33.7,27.6,19.9,10.9,7.9,54503,61.8,207700,901,8,4
"Alto, Texas",Texas,825,58.1,31.6,16.9,19.6,15.3,16.6,56719,41.7,177800,496,8,4
"Alton, Texas",Texas,19205,61.5,20.8,24.0,20.4,19.3,15.5,48777,61.2,126600,981,8,4
"Alvarado, Texas",Texas,5424,59.4,28.9,18.4,12.5,9.9,30.3,71296,64.2,206800,854,9,4
"Alvin, Texas",Texas,27700,64.5,28.5,17.1,22.5,11.8,20.1,68769,57.8,212500,1164,8,4
"Alvord, Texas",Texas,1318,66.7,28.3,15.0,27.2,16.7,12.9,70294,66.6,201400,1050,4,4
"Amarillo, Texas",Texas,200945,65.0,32.4,19.5,21.4,10.9,15.8,62469,59.6,186800,1049,8,4
"Ames, Texas",Texas,1085,59.7,16.3,37.4,28.5,2.7,15.0,44236,67.2,153800,1008,3,4
"Amherst, Texas",Texas,913,49.1,16.8,21.2,16.2,21.2,24.7,54583,70.0,36300,969,9,4
"Anahuac, Texas",Texas,2652,59.7,31.4,17.7,17.3,15.6,17.9,74615,76.1,216100,1613,2,0
"Andrews, Texas",Texas,13416,69.0,27.4,18.0,19.2,20.7,14.5,78896,74.2,186700,1371,2,0
"Angleton, Texas",Texas,19597,60.2,34.4,18.6,21.8,14.5,10.7,83981,66.3,187400,1072,8,0
"Angus, Texas",Texas,423,55.9,20.9,6.4,47.7,9.9,15.1,49844,77.0,175600,1571,4,9
"Anna, Texas",Texas,20975,72.9,44.3,15.3,24.5,5.9,9.9,99375,77.2,312700,1955,0,0
"Annetta North, Texas",Texas,524,68.1,57.9,11.0,21.7,2.4,7.1,163750,92.4,625000,1417,0,0
"Annona, Texas",Texas,249,40.5,6.7,10.7,17.3,30.7,34.7,39821,88.0,67500,675,9,0
"Anson, Texas",Texas,1765,53.9,38.4,24.6,12.0,19.2,5.8,44538,83.1,58600,793,5,4
"Anthony, Texas",Texas,3727,62.5,26.2,17.6,28.6,11.0,16.5,51735,72.5,153800,1009,4,4
"Anton, Texas",Texas,1121,62.8,22.1,16.3,14.8,27.1,19.8,45671,71.8,58800,850,1,4
"Appleby, Texas",Texas,573,72.3,37.4,17.3,21.0,15.5,8.8,79844,74.9,212000,938,2,4
"Aransas Pass, Texas",Texas,8807,53.8,19.8,23.2,23.5,18.3,15.1,59359,61.8,212100,1146,8,4
"Archer City, Texas",Texas,1453,53.0,52.7,13.2,12.4,10.8,10.8,58607,78.5,125600,496,5,2
"Arcola, Texas",Texas,2050,67.1,24.3,25.4,17.8,21.1,11.4,73778,66.4,182700,1117,8,4
"Arlington, Texas",Texas,394769,70.1,35.9,15.7,22.2,9.2,17.0,73519,54.8,276400,1389,7,0
"Arp, Texas",Texas,1055,53.4,21.6,12.0,31.7,23.7,11.0,59219,77.3,99300,1023,4,4
"Asherton, Texas",Texas,654,41.8,25.1,25.7,27.5,12.9,8.8,22985,68.9,83300,571,4,4
"Aspermont, Texas",Texas,953,62.6,15.2,18.9,21.9,16.1,27.9,67670,82.3,45600,620,9,4
"Atascocita, Texas",Texas,93926,69.2,49.5,11.4,20.2,7.5,11.4,114443,83.3,283700,1794,0,0
"Athens, Texas",Texas,13013,60.1,37.1,24.6,18.7,5.7,13.9,70601,56.3,205700,1069,8,4
"Atlanta, Texas",Texas,5434,55.6,34.8,9.4,16.2,12.4,27.3,62675,66.7,165300,836,9,2
"Aubrey, Texas",Texas,6637,73.3,47.2,16.0,25.8,3.6,7.3,100596,75.9,338900,1827,0,0
"Aurora, Texas",Texas,1453,62.5,31.6,12.8,20.1,11.7,23.8,87708,78.7,244100,1272,2,0
"Austin, Texas",Texas,967862,75.0,57.4,12.6,18.0,5.3,6.7,91461,44.4,512700,1655,7,8
"Avery, Texas",Texas,982,62.4,31.9,11.4,26.4,14.2,16.2,55278,73.4,158100,800,4,0
"Avinger, Texas",Texas,467,41.0,23.2,7.7,23.9,10.6,34.5,36563,73.7,79400,833,9,9
"Azle, Texas",Texas,13734,64.0,38.1,12.9,21.1,17.0,10.9,81200,71.1,263800,1341,2,0
"Bacliff, Texas",Texas,9935,68.1,33.5,23.6,17.2,9.8,15.9,54806,61.5,168000,1169,8,4
"Bailey, Texas",Texas,190,55.6,10.2,12.5,33.0,25.0,19.3,53750,72.4,110400,1354,4,4
"Baird, Texas",Texas,1687,58.2,25.7,21.4,23.3,14.3,15.3,52222,70.8,74600,702,4,4
"Balch Springs, Texas",Texas,27181,66.8,22.3,22.3,19.3,18.5,17.5,70528,63.9,208200,1260,8,4
"Balcones Heights, Texas",Texas,2724,64.6,24.0,21.4,35.8,9.0,9.8,28082,18.5,214300,927,8,4
"Ballinger, Texas",Texas,3599,57.5,37.1,19.1,13.0,10.0,20.8,61250,70.3,109000,935,5,0
"Balmorhea, Texas",Texas,505,61.2,10.8,35.0,5.4,38.8,10.0,29375,71.3,56700,1088,3,4
"Bandera, Texas",Texas,599,62.1,23.1,24.6,11.7,21.0,19.6,34879,64.1,132500,1015,3,4
"Bangs, Texas",Texas,1731,61.0,24.4,20.6,19.3,10.3,25.5,50486,63.5,106300,719,9,4
"Bardwell, Texas",Texas,786,67.6,24.8,10.3,30.1,17.0,17.8,56797,51.8,108300,1269,8,4
"Barrett, Texas",Texas,2938,68.3,24.0,16.8,22.0,13.7,23.5,70594,86.7,133600,1330,2,0
"Barry, Texas",Texas,336,60.5,16.8,8.1,26.8,15.4,32.9,64688,63.4,111500,1088,9,9
"Bartlett, Texas",Texas,1758,61.1,21.4,24.5,17.4,19.7,17.0,63464,81.2,181300,742,1,4
"Barton Creek, Texas",Texas,3281,44.8,75.7,3.3,17.9,0.8,2.3,193971,81.0,1752800,1983,6,7
"Bartonville, Texas",Texas,2022,55.0,62.7,12.9,14.0,3.4,7.1,148194,91.4,849300,1168,0,3
"Bastrop, Texas",Texas,10484,67.2,44.3,14.1,20.7,11.8,9.1,70625,49.1,308300,1387,7,4
"Bay City, Texas",Texas,17816,62.3,26.1,22.1,16.2,16.8,18.7,51898,50.5,149800,997,8,4
"Bayou Vista, Texas",Texas,1916,51.7,53.6,11.5,14.9,12.7,7.3,114063,86.3,364400,2250,0,3
"Bayside, Texas",Texas,382,56.9,22.1,24.1,35.9,11.8,6.2,56094,85.9,168600,1488,4,9
"Baytown, Texas",Texas,84538,64.3,26.1,17.9,19.4,16.7,20.0,61699,53.1,187900,1217,8,4
"Bayview, Texas",Texas,954,74.3,47.6,23.5,20.9,5.6,2.4,132695,95.8,305600,2179,0,3
"Beaumont, Texas",Texas,113710,61.0,30.6,23.3,21.4,10.9,13.9,57530,54.2,158800,1072,8,4
"Beckville, Texas",Texas,776,58.9,11.9,16.8,26.8,19.5,25.0,49000,57.9,110200,870,8,4
"Bedford, Texas",Texas,49191,70.3,47.9,13.2,23.1,6.1,9.7,81393,51.5,322300,1429,7,1
"Bedias, Texas",Texas,467,51.1,38.7,34.7,11.3,10.7,4.7,68750,91.1,210200,963,3,4
"Bee Cave, Texas",Texas,8861,66.2,52.7,9.2,28.1,2.0,8.0,113157,50.0,699100,1807,7,1
"Beeville, Texas",Texas,13518,64.6,27.0,25.9,19.2,12.2,15.7,51250,63.0,96400,1034,8,4
"Bellaire, Texas",Texas,17116,63.0,77.5,5.7,13.0,0.5,3.3,236311,87.9,978300,2705,6,7
"Bellmead, Texas",Texas,10550,53.3,16.1,23.3,16.3,25.0,19.3,54048,57.8,117600,1054,8,4
"Bells, Texas",Texas,2101,72.9,41.7,12.4,19.2,8.3,18.5,89635,72.5,208000,877,2,0
"Bellville, Texas",Texas,4196,53.9,32.3,28.0,16.8,16.4,6.6,53941,61.8,249100,891,3,4
"Belterra, Texas",Texas,7190,71.7,64.8,10.9,16.4,2.0,5.9,211471,97.6,658400,2789,6,7
"Belton, Texas",Texas,23769,59.4,32.7,18.8,25.0,9.5,13.9,63544,51.5,252000,1237,8,4
"Benavides, Texas",Texas,1399,40.9,39.5,13.7,23.9,9.8,13.2,44950,54.6,84800,917,5,2
"Ben Bolt, Texas",Texas,2391,59.7,33.3,15.8,16.9,24.1,9.8,70500,75.2,156700,942,1,2
"Benbrook, Texas",Texas,24430,65.9,47.5,9.4,25.8,8.5,8.8,82148,68.6,278200,1457,2,0
"Benjamin, Texas",Texas,236,55.6,37.9,12.6,11.6,37.9,0.0,49375,65.6,61300,520,1,6
"Berryville, Texas",Texas,1176,42.0,34.1,21.7,13.4,21.7,9.0,64028,93.1,132000,530,1,4
"Bertram, Texas",Texas,1998,58.0,28.8,17.7,19.1,19.7,14.6,63750,78.1,195100,1343,1,0
"Beverly Hills, Texas",Texas,1631,62.5,17.6,16.3,24.4,17.2,24.5,50515,68.2,116500,909,9,9
"Bevil Oaks, Texas",Texas,1308,59.4,37.0,18.0,21.9,17.2,5.9,77073,84.9,216400,2594,0,0
"Big Lake, Texas",Texas,3092,63.9,34.3,11.5,16.7,18.7,18.9,72067,76.9,155500,806,1,2
"Big Sandy, Texas",Texas,1215,65.2,23.5,16.3,24.1,20.3,15.9,41806,49.2,119800,751,8,4
"Big Spring, Texas",Texas,24769,52.2,34.2,20.4,16.3,14.1,15.0,70532,63.1,138800,1009,8,2
"Big Wells, Texas",Texas,420,44.1,12.9,24.2,24.2,15.2,23.5,29135,77.9,75000,738,9,4
"Bishop, Texas",Texas,3133,52.4,22.7,26.6,24.2,10.8,15.8,58385,85.7,115900,905,4,4
"Blackwell, Texas",Texas,233,69.3,48.4,0.0,16.4,5.7,29.5,67500,71.7,78600,717,5,0
"Blanco, Texas",Texas,2336,65.7,31.8,21.6,14.5,20.9,11.3,67292,45.1,253700,930,8,4
"Blanket, Texas",Texas,360,61.4,18.1,16.5,12.8,38.3,14.4,45417,85.9,77300,578,1,6
"Bloomburg, Texas",Texas,303,62.0,28.7,20.0,16.0,16.0,19.3,76389,77.7,67300,827,1,0
"Blooming Grove, Texas",Texas,779,58.6,20.1,13.3,29.2,15.0,22.4,67143,69.1,104500,1105,4,9
"Bloomington, Texas",Texas,1409,48.5,11.8,24.2,20.2,12.2,31.7,40298,69.1,128600,761,9,4
"Blossom, Texas",Texas,1425,71.0,17.9,15.0,28.5,19.4,19.2,56397,67.5,104000,891,4,4
"Blue Mound, Texas",Texas,2372,63.9,17.5,17.2,19.7,20.8,24.8,64665,79.8,184100,1429,9,0
"Blue Ridge, Texas",Texas,1135,74.1,25.4,17.1,20.9,15.6,20.9,76296,78.2,206100,1399,2,0
"Blum, Texas",Texas,374,64.3,5.7,11.9,24.4,10.2,47.7,28438,80.3,80000,1313,9,0
"Boerne, Texas",Texas,19509,62.6,44.2,12.0,29.3,8.8,5.7,86838,61.3,437100,1577,7,1
"Bogata, Texas",Texas,935,41.1,37.7,13.4,10.9,16.6,21.4,38906,63.5,101500,807,5,4
"Bonham, Texas",Texas,10594,42.0,35.6,15.6,17.1,8.7,23.0,53232,56.0,183600,1029,5,2
"Booker, Texas",Texas,1283,68.1,29.1,20.1,14.5,13.1,23.2,67569,75.2,141400,860,9,0
"Borger, Texas",Texas,12398,59.1,30.0,13.0,20.0,17.3,19.8,59031,76.1,90000,833,1,0
"Bovina, Texas",Texas,1490,56.0,17.1,15.0,18.6,14.4,35.0,42833,68.8,111900,876,9,5
"Bowie, Texas",Texas,5617,49.6,25.7,19.8,19.8,20.0,14.7,57299,65.6,182400,1139,8,4
"Boyd, Texas",Texas,1488,60.1,18.3,16.2,26.7,19.6,19.3,66944,76.6,230700,842,4,0
"Brackettville, Texas",Texas,1471,62.0,9.6,34.6,19.0,15.2,21.7,31341,71.2,57100,746,3,4
"Brady, Texas",Texas,5215,60.6,30.2,30.9,14.7,15.3,8.8,44163,59.8,102900,836,3,4
"Brazoria, Texas",Texas,2859,63.7,31.8,31.2,18.8,3.5,14.8,51354,60.1,168800,961,3,4
"Breckenridge, Texas",Texas,5182,62.1,26.0,20.2,13.5,18.0,22.2,46989,66.7,76400,775,9,4
"Bremond, Texas",Texas,824,54.9,26.9,21.5,12.6,19.5,19.5,78611,67.3,92400,969,1,4
"Brenham, Texas",Texas,18086,54.8,35.6,19.9,21.3,10.5,12.7,57207,56.8,223200,1087,8,4
"Briar, Texas",Texas,6253,60.5,37.1,9.9,27.2,13.1,12.7,90972,82.2,310300,890,2,0
"Briarcliff, Texas",Texas,2630,65.1,60.7,6.4,24.3,3.2,5.4,129524,89.3,477400,2436,0,3
"Bridge City, Texas",Texas,9549,68.5,42.2,12.9,20.2,6.7,18.1,103256,78.5,195600,1429,2,0
"Bridgeport, Texas",Texas,6174,67.5,34.8,16.7,20.5,11.3,16.7,93914,70.8,241100,1207,2,0
"Broaddus, Texas",Texas,252,67.5,16.5,17.4,36.4,16.5,13.2,64779,58.9,105000,950,4,9
"Bronte, Texas",Texas,1098,55.4,24.3,19.4,14.8,27.8,13.7,52083,62.5,129000,889,1,4
"Brookshire, Texas",Texas,5330,71.1,20.3,17.4,26.3,21.6,14.4,62987,58.5,117000,1300,8,4
"Brookside Village, Texas",Texas,1474,57.1,25.5,14.0,31.5,13.1,15.9,94643,92.5,301300,1475,2,0
"Brownfield, Texas",Texas,8803,56.1,22.5,21.5,18.6,18.5,18.9,43189,64.5,109900,815,8,4
"Brownsboro, Texas",Texas,1479,64.1,18.5,26.9,21.5,12.2,20.9,65250,54.8,180700,1179,8,4
"Brownsville, Texas",Texas,188023,59.1,30.2,25.1,22.4,9.8,12.5,48675,59.9,122400,906,8,4
"Brownwood, Texas",Texas,18805,59.4,28.8,20.1,19.5,10.8,20.9,47821,55.8,123700,829,8,4
"Bruceville-Eddy, Texas",Texas,1529,64.7,26.3,17.6,27.7,11.1,17.3,72708,89.3,156800,1080,4,0
"Brushy Creek, Texas",Texas,20953,74.2,60.4,10.8,20.8,3.2,4.8,137630,72.9,451500,2024,0,3
"Bryan, Texas",Texas,86169,64.2,36.3,18.8,20.4,10.9,13.6,56861,49.4,210600,1150,8,4
"Bryson, Texas",Texas,851,66.0,8.7,18.8,29.4,27.8,15.3,72781,50.7,114600,1112,8,4
"Buchanan Dam, Texas",Texas,1359,43.4,26.9,2.6,33.5,11.8,25.2,56250,81.1,267100,917,4,9
"Buckholts, Texas",Texas,410,44.1,14.7,19.3,17.4,4.6,44.0,33462,60.5,56700,710,9,5
"Buda, Texas",Texas,15487,72.6,50.0,10.7,25.1,5.7,8.5,111179,73.6,410100,1785,0,0
"Buffalo, Texas",Texas,1804,60.6,15.7,26.7,12.6,16.6,28.3,47428,52.9,62300,746,9,4
"Buffalo Gap, Texas",Texas,508,55.3,37.7,28.6,11.9,8.7,13.1,63750,70.6,178100,1055,3,4
"Bullard, Texas",Texas,4080,65.5,43.0,19.2,17.2,10.9,9.7,108304,78.2,290300,1525,2,0
"Bulverde, Texas",Texas,6164,51.8,57.9,6.3,19.5,12.1,4.2,108413,92.8,380100,1451,0,2
"Buna, Texas",Texas,2030,49.9,25.5,29.9,13.7,18.3,12.6,66339,81.2,111700,931,3,4
"Burkburnett, Texas",Texas,11012,61.8,30.7,14.5,24.1,11.5,19.2,65796,64.9,143500,953,8,4
"Burke, Texas",Texas,605,67.4,37.5,14.6,28.1,1.9,18.0,57969,85.5,112500,863,2,0
"Burleson, Texas",Texas,50981,69.8,40.5,13.0,20.4,8.1,18.1,94162,71.3,282900,1665,2,0
"Burnet, Texas",Texas,6630,57.7,33.8,21.3,27.6,11.2,6.0,88000,74.7,245900,1012,4,4
"Burton, Texas",Texas,219,70.7,50.5,11.2,17.8,6.5,14.0,70000,72.2,265900,1175,2,0
"Bynum, Texas",Texas,225,75.4,30.4,17.9,32.1,11.6,8.0,58750,80.7,104700,950,4,0
"Cactus, Texas",Texas,3063,63.7,4.6,13.7,14.4,27.9,39.4,49125,44.2,61300,725,9,5
"Caddo Mills, Texas",Texas,2589,65.9,44.4,12.5,25.0,7.5,10.6,75385,69.3,247400,1103,2,0
"Caldwell, Texas",Texas,4238,55.5,33.6,14.1,20.0,14.6,17.6,74764,70.7,191900,850,5,0
"Callisburg, Texas",Texas,283,80.7,40.0,22.4,10.0,8.2,19.4,63125,75.7,166900,1268,2,2
"Calvert, Texas",Texas,959,51.0,10.7,35.5,2.9,8.4,42.5,77669,51.0,114100,904,9,5
"Cameron, Texas",Texas,5385,61.2,40.8,24.5,13.6,10.1,11.1,57126,55.2,112800,942,8,2
"Cameron Park, Texas",Texas,6180,50.8,14.2,16.5,18.5,32.9,17.8,37140,61.3,75500,758,1,4
"Campbell, Texas",Texas,914,57.4,25.1,44.3,16.4,8.4,5.8,55818,54.1,82500,1108,3,4
"Camp Swift, Texas",Texas,7505,53.3,22.3,17.7,19.3,24.8,15.8,63316,74.5,171800,1065,1,4
"Camp Wood, Texas",Texas,829,32.8,37.9,25.8,0.0,19.7,16.7,47008,62.6,63300,862,5,2
"Canadian, Texas",Texas,2314,64.0,29.1,19.0,14.9,25.1,11.9,61384,74.5,156300,886,1,2
"Canton, Texas",Texas,4411,54.6,37.3,15.0,24.3,8.8,14.6,48858,66.7,189200,985,5,0
"Canutillo, Texas",Texas,6422,58.9,28.0,22.4,25.0,10.9,13.8,43750,80.4,110300,845,4,4
"Canyon, Texas",Texas,15398,63.6,36.8,20.0,21.2,10.6,11.4,68233,53.7,218300,975,8,4
"Canyon Creek, Texas",Texas,963,56.0,35.2,9.2,33.8,15.4,6.4,90774,87.0,264400,1768,2,0
"Canyon Lake, Texas",Texas,32924,54.3,46.8,12.2,21.6,10.5,8.8,93114,87.1,337200,1242,2,0
"Carbon, Texas",Texas,285,53.4,11.2,20.7,16.4,19.0,32.8,61250,84.1,57800,1528,9,0
"Carmine, Texas",Texas,196,44.5,28.3,16.7,38.3,11.7,5.0,50833,84.7,257400,1679,4,9
"Carrizo Springs, Texas",Texas,4800,43.5,21.2,14.9,22.4,22.0,19.5,36077,55.6,67700,516,8,4
"Carrollton, Texas",Texas,132741,74.1,46.4,13.5,22.2,7.0,10.8,99115,58.3,353600,1674,7,1
"Carter, Texas",Texas,1642,63.3,29.9,9.2,17.7,18.6,24.6,80114,87.8,237300,863,9,0
"Carthage, Texas",Texas,6568,56.8,21.9,20.1,16.5,14.0,27.5,44738,66.4,153100,737,9,4
"Cashion Community, Texas",Texas,307,55.2,45.3,19.0,17.5,8.8,9.5,72917,77.7,219200,950,5,4
"Castle Hills, Texas",Texas,3961,55.7,56.1,13.3,18.9,4.7,6.9,95583,79.8,429000,1418,0,2
"Castroville, Texas",Texas,3027,54.8,41.8,14.6,25.8,10.7,7.1,76524,68.3,266000,1184,5,0
"Cedar Creek, Texas",Texas,4026,54.5,37.5,9.3,17.0,24.1,12.1,93304,77.1,255200,2053,2,0
"Cedar Hill, Texas",Texas,48547,71.7,39.3,12.3,24.4,7.0,17.0,90608,69.4,273200,1878,2,0
"Cedar Park, Texas",Texas,77474,71.1,59.1,10.1,19.0,4.7,7.1,123972,67.3,474800,1753,0,1
"Celeste, Texas",Texas,1084,57.1,36.3,23.6,17.6,14.5,8.0,56458,75.4,160000,1014,5,2
"Celina, Texas",Texas,27141,69.1,55.7,13.4,18.0,7.8,5.1,155875,93.2,458000,2064,0,3
"Center, Texas",Texas,5198,60.2,32.2,15.6,18.7,2.3,31.2,50731,58.9,152000,958,9,4
"Centerville, Texas",Texas,946,62.1,19.8,50.9,4.5,17.6,7.2,50066,55.7,158300,970,3,4
"Central Gardens, Texas",Texas,3491,67.0,27.5,10.1,24.8,12.6,25.0,81042,81.5,233200,798,2,0
"Chandler, Texas",Texas,3397,51.2,45.2,13.5,18.1,12.0,11.2,48002,70.7,218400,868,5,0
"Channelview, Texas",Texas,43536,63.6,23.9,14.7,17.6,21.6,22.2,65775,75.6,186300,1202,1,0
"Chester, Texas",Texas,200,51.4,42.0,4.5,14.8,10.2,28.4,69583,88.2,119900,750,5,2
"Chico, Texas",Texas,1174,64.4,32.4,11.6,26.2,8.3,21.4,58125,62.5,160300,1130,8,4
"Childress, Texas",Texas,5964,49.6,22.9,9.2,26.0,29.2,12.7,59662,57.8,84200,934,4,9
"Chillicothe, Texas",Texas,606,71.9,16.4,29.4,6.6,17.6,30.0,68125,62.9,68800,845,9,4
"Chilton, Texas",Texas,804,60.9,16.6,18.9,26.4,18.2,19.9,38182,76.0,91500,850,4,4
"China, Texas",Texas,892,56.5,29.5,21.5,34.6,11.4,2.9,56429,80.0,196700,1019,4,9
"China Grove, Texas",Texas,1395,50.6,38.6,14.1,27.6,7.3,12.4,103000,89.7,349500,1684,2,0
"Chireno, Texas",Texas,611,52.3,32.1,15.5,7.3,18.7,26.4,61705,68.9,74000,665,9,4
"Chula Vista CDP (Maverick County), Texas",Texas,4884,47.8,23.8,25.8,7.6,7.0,35.9,33750,82.6,83100,967,9,5
"Cibolo, Texas",Texas,33829,65.8,43.3,17.5,21.4,4.7,13.2,125230,84.5,324600,2008,0,0
"Cienegas Terrace, Texas",Texas,1703,65.1,9.1,11.0,22.7,20.9,36.3,42382,84.6,97600,956,9,9
"Cinco Ranch, Texas",Texas,19139,63.8,57.4,10.7,22.1,1.7,8.2,157395,72.5,459500,1968,0,3
"Cisco, Texas",Texas,3926,51.9,37.6,23.7,16.2,11.2,11.3,57138,65.8,105500,935,5,2
"Clarendon, Texas",Texas,1789,43.8,34.2,37.6,10.6,15.0,2.6,54441,65.4,93700,713,3,4
"Clarksville, Texas",Texas,2864,38.3,16.4,33.4,20.3,13.5,16.4,26364,48.3,50100,809,3,4
"Clarksville City, Texas",Texas,946,53.7,30.2,10.5,17.3,23.6,18.4,66964,80.3,129500,1153,1,4
"Claude, Texas",Texas,1164,58.3,39.0,18.9,8.1,24.5,9.5,74554,79.4,180800,997,1,2
"Clear Lake Shores, Texas",Texas,1182,56.2,57.5,7.7,24.9,4.7,5.2,111563,84.1,448500,1896,0,3
"Cleburne, Texas",Texas,32966,62.2,24.8,14.9,17.7,9.0,33.5,66324,58.6,200900,1283,9,4
"Cleveland, Texas",Texas,8137,52.9,20.8,21.6,24.5,10.7,22.4,54888,59.0,153200,928,8,4
"Clifton, Texas",Texas,3489,50.7,27.3,26.9,26.5,11.7,7.5,63696,66.0,147500,1008,4,4
"Clint, Texas",Texas,1208,51.2,30.9,10.6,17.3,18.5,22.8,44375,70.8,181300,1069,9,4
"Cloverleaf, Texas",Texas,24630,63.5,16.8,19.3,20.7,20.4,22.8,56371,62.8,164900,1090,8,4
"Clute, Texas",Texas,10650,70.0,25.1,24.8,15.0,21.2,13.9,66224,50.8,251100,1223,8,4
"Clyde, Texas",Texas,3899,57.3,31.8,18.1,16.1,11.3,22.7,63616,74.8,150600,1018,9,0
"Coahoma, Texas",Texas,1519,69.0,40.6,8.5,10.1,2.6,38.1,120938,87.8,260100,1194,9,0
"Cockrell Hill, Texas",Texas,3736,63.2,17.8,18.9,20.6,24.0,18.7,53788,66.0,174400,1058,8,4
"Coldspring, Texas",Texas,1372,45.4,23.4,22.8,25.9,8.0,19.9,41196,54.6,189300,780,8,4
"Coleman, Texas",Texas,3942,60.7,21.6,19.5,30.4,10.2,18.3,50294,71.3,75000,732,4,4
"College Station, Texas",Texas,122280,62.2,48.3,17.7,21.2,4.3,8.5,51776,35.9,326500,1168,7,4
"Colleyville, Texas",Texas,25906,63.6,61.7,8.8,18.9,2.6,7.9,203566,95.6,718900,3194,6,7
"Collinsville, Texas",Texas,1839,65.0,30.8,17.8,18.5,14.1,18.9,60510,54.6,212400,1152,8,4
"Colmesneil, Texas",Texas,697,56.0,26.9,20.3,17.5,14.7,20.6,46250,75.7,107000,748,9,4
"Colorado City, Texas",Texas,3973,60.0,20.7,23.5,24.0,23.4,8.4,48173,74.3,61100,718,4,4
"Columbus, Texas",Texas,3718,46.6,47.4,15.0,29.4,4.3,3.9,57214,72.9,219300,1047,5,0
"Comanche, Texas",Texas,4227,65.5,16.7,8.4,33.2,18.6,23.1,48596,66.4,118200,837,4,0
"Combes, Texas",Texas,3157,60.2,18.1,26.0,27.7,15.2,13.0,42880,85.5,106800,823,4,4
